OBJECTID,PROVINSI,Shape_Leng,Shape_Area,Langitude,Latittude
"1",ACEH,27.45578615180,4.62543601711,96.9102794525,4.2250966804
"2",BALI,6.02664625839,0.45871702294,115.1318570788,-8.3695571322
"3",BANTEN,9.28222764266,0.76491114763,106.1088266472,-6.4562516952
"4",BENGKULU,11.70636685770,1.63012891744,102.3367483020,-3.5525778489
"5",DAERAH ISTIMEWA YOGYAKARTA,3.34289181282,0.26012974709,110.4458011330,-7.8949517614
"6",DKI JAKARTA,3.12368876768,0.05342566794,106.8343862716,-6.2003446681
"7",GORONTALO,11.01323733550,0.97759999802,122.3760457004,0.6868235109
"8",JAMBI,11.83507186600,3.97771123809,102.7198054525,-1.6984183604
"9",JAWA BARAT,11.61494981440,3.03278484184,107.6027967317,-6.9199791475
"10",JAWA TENGAH,15.45634885440,2.81983778812,110.2006154850,-7.2593858039
"11",JAWA TIMUR,33.57128369510,3.93831997547,112.7335372349,-7.7195056443
"12",KALIMANTAN BARAT,39.64367794930,11.96283003630,111.1255716328,-0.0844279175
"13",KALIMANTAN SELATAN,26.45093522480,2.98987867407,115.4406288156,-3.0121739976
"14",KALIMANTAN TENGAH,23.24200409270,12.53113927730,113.4248106079,-1.6039387176
"15",KALIMANTAN TIMUR,58.19515337330,10.26077516200,116.4743039657,0.4653840177
"16",KALIMANTAN UTARA,41.71711544860,5.69268584313,116.2159407444,2.8949458634
"17",KEPULAUAN BANGKA BELITUNG,20.10084222610,1.35849169279,106.5559109936,-2.4497888659
"18",KEPULAUAN RIAU,66.54086402490,0.67068227141,105.4077656010,1.4826277319
"19",LAMPUNG,15.09305776050,2.73978211766,105.0200991041,-4.9174912428
"20",MALUKU,90.30689507120,3.76872622093,129.8412879587,-4.7376997514
"21",MALUKU UTARA,59.76581285810,2.56046291743,127.5399100380,0.2104219409
"22",NUSA TENGGARA BARAT,26.91622395090,1.61571267083,117.5074761489,-8.6066774834
"23",NUSA TENGGARA TIMUR,52.34642260260,3.82286985680,122.1815389171,-9.2599990243
"24",PAPUA,63.86287007510,25.60771523520,138.6929482825,-4.6654757231
"25",PAPUA BARAT,74.47466066870,8.01079911225,132.9680312752,-2.0379370375
"26",RIAU,34.13019584330,7.29705045879,101.8077951119,0.5127244009
"27",SULAWESI BARAT,10.62026191740,1.34735306216,119.3440828956,-2.4615801503
"28",SULAWESI SELATAN,30.28419467120,3.70191977894,120.1610901802,-3.7322587904
"29",SULAWESI TENGAH,61.10058698930,4.97127801673,121.2023343761,-1.0039533256
"30",SULAWESI TENGGARA,38.52687239820,2.97923885433,122.0705426660,-4.1245378071
"31",SULAWESI UTARA,22.63911483380,1.18026159549,124.5234767298,1.2618133681
"32",SUMATERA BARAT,27.73485111750,3.43111853963,100.4670977942,-0.8506617632
"33",SUMATERA SELATAN,20.46461974080,7.07617885661,104.1706918285,-3.2135346706
"34",SUMATERA UTARA,28.92855135280,5.88039293464,99.0531396348,2.1919114973
